1291,1610
475,605
1432,1131
2331,1568
242,3121
1448,3871
98,2180
833,1680
678,1714
1486,3869
359,4097
905,1047
2658,1753
553,360
861,1906
2475,1395
2086,182
83,786
2201,1134
309,1586
557,3395
228,2273
565,247
1044,937
1148,2152
2664,2588
1044,1521
44,3354
220,1138
1576,20
411,1973
2435,3310
615,1575
2449,2544
1945,2243
1658,3603
130,1280
1921,796
2670,2728
2322,1423
392,736
1498,3246
1858,3578
1164,1138
2404,1049
1165,2490
415,1840
2743,4577
347,3078
2412,938
2066,1695
1301,3154
1241,1227
985,1510
2027,175
942,535
1903,4080
1209,121
2128,604
974,1830
9,2971
646,2434
1969,2510
812,2066
2140,2259
1089,785
2352,3175
408,16
2521,2640
952,2951
383,2066
1190,207
928,325
2616,62
831,3971
2784,3939
2450,4181
912,1786
2083,712
244,2681
1226,1864
242,1216
1600,4136
258,3414
834,4181
2032,46
6,145
809,1176
2457,3365
1236,1940
2448,447
1056,2999
774,2097
299,2048
2130,2893
2927,3671
403,1037
1206,593
746,1556
2036,3267
811,615
83,916
1803,29
505,1717
2498,2813
954,454
1050,312
1982,3653
1963,436
1165,471
102,3833
340,1453
2430,2429
1668,3489
1914,224
2590,2363
400,925
628,3164
1191,3331
2517,732
2360,845
2275,1131
982,901
2070,1567
975,1032
464,2937
2675,1431
1968,1620
1669,3550
907,1487
214,1383
2173,659
1689,3646
2806,4529
2382,2755
2146,1119
862,3219
2187,1767
2529,2319
133,1868
2409,3250
2253,1363
2278,3167
2376,3077
2599,2452
2317,1791
371,413
2500,411
2153,1183
2576,2785
318,3141
2096,540
986,186
455,2153
1217,2925
213,3749
2105,1233
547,922
2035,1476
2393,1728
689,3888
628,1619
1051,2393
357,383
1106,1433
1915,2057
233,4106
2807,240
1919,1696
451,2073
1270,2222
2978,889
2728,2295
2332,3692
1238,324
354,3125
208,4341
2381,3584
2078,1408
370,108
438,1189
2587,3571
1243,3459
596,1109
1245,1640
2086,1471
2465,827
2456,2490
1585,4276
536,3387
2543,1613
157,2554
277,2371
1148,3677
1375,1377
1810,3337
885,1096
2463,231
1992,1447
536,2586
1165,3570
733,1326
1284,3518
921,866
408,1703
844,3710
2457,915
1058,101
333,250
353,3725
567,2999
2377,618
2369,2565
1910,3876
2728,2825
2529,4784
191,561
2629,1612
1931,79
2562,484
454,491
1266,3254
984,1982
533,2518
236,3041
2917,1850
798,1154
2132,3658
442,2997
1267,186
2402,4307
861,3906
1328,3064
1989,1093
1899,483
1458,2945
539,2846
1144,2790
1295,671
935,1689
438,2511
2079,3377
805,1620
1969,195
2130,496
2754,2011
2432,2330
335,497
166,3132
811,1971
318,3989
430,3273
797,1268
65,1099
2571,3063
331,1075
1973,1810
1478,2066
2021,2616
2429,1637
1119,1219
2269,2177
111,129
1230,1469
1236,678
2061,238
2523,581
371,543
1901,3258
2547,644
2417,1352
1455,141
2545,282
1196,357
260,151
502,1500
1130,2113
1880,550
1093,2549
2224,1190
1267,2855
2526,4007
211,2512
2064,3215
2403,3748
851,688
624,2206
2298,3428
61,452
1565,2792
2014,2215
480,716
1228,242
1356,827
2518,1102
382,2941
1620,3664
188,3913
217,1473
2387,4371
2099,988
2569,2235
1022,456
2015,1125
1811,1735
2371,2792
2036,3408
2679,3134
642,418
553,2682
2416,853
2361,3212
380,2023
734,2099
441,3952
2867,2999
299,2139
239,1086
809,4088
1973,2574
2122,2378
2507,312
2458,2974
936,1305
1996,221
2337,745
363,4035
1935,3011
2554,2047
2925,326
1733,3841
659,1673
304,3374
2408,556
2517,2597
1714,4695
1678,2832
1006,991
2127,1355
232,1870
1107,1295
1340,3521
71,2512
1553,3639
619,2716
292,1066
2395,2708
1227,2575
287,3474
2371,476
390,947
1993,284
2421,3095
2238,1681
2387,4182
2612,548
1034,1662
2468,1087
2455,169
2438,1255
2476,1180
707,2081
2319,2901
2040,3125
1145,3972
2526,3137
214,2223
1390,2551
1009,1261
1053,2147
2806,810
442,1425
1460,295
894,1025
1460,3728
571,2196
2550,973
580,2692
921,389
1477,3572
435,2953
863,229
1993,3009
2088,3743
2034,1615
2106,1207
1955,3748
2453,1750
267,2464
1081,2382
2125,235
880,1673
1166,3915
187,1043
2029,704
2577,4702
2048,3649
2317,997
495,362
1596,3503
226,1569
2862,3523
604,3038
1827,2163
1939,2379
2162,751
335,145
1889,156
1197,3601
1024,4120
570,2892
1249,1104
1893,1126
1143,1041
834,1621
2409,896
1995,638
2569,2312
2397,2475
330,2298
1178,2675
2508,2985
2365,1136
1323,2490
2432,792
2917,4624
2325,4408
2166,81
86,2060
2483,1264
239,1919
1840,713
932,495
707,1091
1997,929
494,2535
1020,4056
